data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
150408,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1973,30,1,1,0,1,0,0,0,1,1,7307.3,2002-11,01/11/2002,,0,Active,1,1,03/05/2007,1644,5701.31,1,1,1,52,52,0,52,5000,96.15384615,13/05/2011,09/08/2013,820,15.75,185.5914634,3115,3934,1471,2290,0,0,
150482,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1970,34,1,1,1,1,1,0,0,1,0,14922.68,2003-07,01/07/2003,,0,Active,1,1,01/11/2005,854,5641.53,1,1,1,,,,,,,,,,,,,,,,0,,
150508,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1956,47,1,1,0,1,0,0,0,0,0,17248.26,2003-03,01/03/2003,,0,Active,1,1,14/08/2007,1627,8286.53,1,1,1,,,,,,,,,,,,,,,,0,,
150525,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1966,37,1,1,1,1,0,0,0,0,0,23954.76,2002-07,01/07/2002,,0,Active,1,1,05/12/2006,1618,9375.46,1,1,1,,,,,,,,,,,,,,,,0,,
150536,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1963,41,1,1,0,1,0,0,0,0,0,22963.58,2003-07,01/07/2003,,0,Active,1,1,25/10/2004,482,9677.09,1,1,1,,,,,,,,,,,,,,,,0,,
150555,midwest,IL,Placement (3); Active,Dormant Judgment,01/01/1957,46,1,1,0,1,0,0,0,0,0,29578.91,2002-11,01/11/2002,,0,Active,1,1,01/11/2005,1096,13103.23,1,1,1,,,,,,,,,,,,,,,,0,,
150652,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1961,40,1,1,0,1,0,0,0,0,0,2375.66,2001-02,01/02/2001,,0,Active,1,1,06/11/2006,2104,1889.94,1,1,1,,,,,,,,,,,,,,,,0,,
150763,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1968,33,1,0,1,1,0,1,0,1,1,5249.2,2000-11,01/11/2000,,0,Active,1,1,27/04/2007,2368,2205.04,1,1,1,,,,,,,,,,,,,,,,0,,
150955,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1959,38,1,1,1,1,0,0,0,1,1,3120.05,1997-06,01/06/1997,,0,Dormant,0,1,24/09/2004,2672,2243.57,1,1,1,,,,,,,,,,,,,,,,0,,
150957,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1963,40,1,1,1,1,0,0,0,1,0,3852.93,2003-01,01/01/2003,,0,Active,1,1,18/04/2006,1203,2498.78,1,1,1,,,,,,,,,,,,,,,,0,,
